No	카테고리	주제	한줄설명
1	워밍업/쿨다운	50대+ 탱고 워밍업 8분 루틴	발목-무릎-고관절-흉추를 부드럽게 깨우기
2	워밍업/쿨다운	밀롱가 전 2분 “발바닥 깨우기”	아치·발가락·발목 가동으로 균형감 회복
3	워밍업/쿨다운	춤 전 “어깨·목 긴장 해제” 90초	승모근 힘 빼면 포옹이 편해진다
4	워밍업/쿨다운	첫 1~2곡 ‘저강도 적응’ 원칙	초반 과열·삐끗을 예방하는 습관
5	워밍업/쿨다운	춤 후 6분 쿨다운 루틴	종아리-둔근-장요근-가슴 열기
6	부상예방	50대 무릎 보호: “엉덩이로 지지” 걷기	무릎 대신 고관절로 체중을 받는 느낌
7	부상예방	허리 편한 축 만들기(갈비뼈-골반 정렬)	요추 과신전 줄이고 안정감 높이기
8	부상예방	피벗(회전)에서 무릎 비틀림 줄이기	발 전체 회전 + 속도 낮추기
9	부상예방	“큰 동작은 컨디션 좋은 날만” 규칙	부상 위험을 낮추는 난이도 조절
10	부상예방	통증 신호등 규칙(초록/노랑/빨강)	멈춤 타이밍을 명확히 정해 지속하기
11	부상예방	발목 삐끗 방지: 착지 3원칙	발 전체·무릎 방향·시선 안정
12	부상예방	넘어짐 예방: 회전보다 ‘정지’ 훈련	파우사로 균형 회복 능력 키우기
13	부상예방	바닥이 미끄러울 때 즉시 바꾸는 3가지	보폭↓ 회전↓ 속도↓
14	부상예방	발바닥 통증(족저) 예방 습관	아치 관리 + 종아리 이완
15	부상예방	어깨 통증 없이 포옹 유지하는 팔 위치	팔로 끌지 말고 등으로 지지
16	신발/장비	50대+ 신발 선택 체크 6항목	지지력·바닥감·미끄럼·굽·발볼·무게
17	신발/장비	인솔(깔창)로 무릎/발 부담 줄이기	체중 분산과 안정성 확보
18	신발/장비	테이핑/보호대 ‘언제 쓰고 언제 빼나’	의존이 아닌 보호 목적 기준
19	신발/장비	물집/굳은살 관리로 오래 즐기기	보습-패치-휴식의 기본
20	신발/장비	밀롱가 가방 8종 세팅 리스트	물·간식·파스·여분 신발 등
21	근력/컨디션	50대 탱고의 핵심 근력: 둔근 10분	무릎 보호와 보행 안정의 중심
